ID,Title,Poster,Description,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Audio Description,English Subtitles,Spanish Subtitles
13,Ahaan,https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVcwgk5JPUc5HqEV4Lg86lb-oDsm9xAB5nJ83LiYIeoQY4Y2k4dKTT2blGmNCLl6epOP3cPtTiC37HZQ1nU0r2-wEYv5.jpg?r=663,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbor, a young man with Down Syndrome.",2021,,49/100,1,0,0,0,0,0,1,0
14,Ajeeb Daastaans,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVV42dDgG4Pms2wNQUE0n4aJLnU-tJ7u4kPBxuYPOx0l95TXlrcxF_AXwFsSzkn8smZgNRRzWISUGd8Jbj4qGI6RwCr44yePpFJdkaTo7t6uhEyDsl8-Ntd462MH6w.jpg?r=9c7,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,2021,,57/100,1,0,0,0,0,0,1,1
15,Alan SaldaÃ±a: Locked Up,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVtsbBjBuPdl8KJ_9R65-9kgi-_jTJOuF2J5g1PUSPKxbGSy5rxySN14mwdMxGVc3cOMxeV-XGSZUsZciRq6NxBgouzfjRhlrOlfCvu5kPe-RYxvFoYXaChipsM5bg.jpg?r=009,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",2021,,41/100,1,0,0,0,0,0,1,1
16,Ali & Ratu Ratu Queens,https://occ-0-3607-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVnShME1N3jHUcIbvVZr4w-B4M2V0HacRDqx0pIGdJnFlcbefmxAzWNeJswKUNmUKv4G8Rs3iAo5-XjCM7pwPSqjK1nIf49NF_Kb5A180-x_5k46l0Vd5r9Yqt7VKg.jpg?r=c37,"After his father's passing, a teenager sets out for New York in search of his estranged mother and soon finds love and connection in unexpected places.",2021,16+,58/100,1,0,0,0,0,0,1,1
17,All We Got,"https://m.media-amazon.com/images/M/MV5BMWE2MTY3OTUtNTMxMy00ZmE5LTk3YTItNjc1MWFiNTU1YzdkXkEyXkFqcGdeQXVyMTAxMjk2OTQx._V1_QL75_UX190_CR0,2,190,281_.jpg","After eight years away, Kristin Baker returns to her family home when she learns of her mother's death. She and her dysfunctional siblings must fulfil their mother's dying wish.",2021,,40/100,0,0,1,0,0,0,1,0
18,America: The Motion Picture,https://occ-0-3607-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTepimhOlHIAZylcMvCTUD02dv7FhKE5IxZdDBxBxkHt-Yl0gRtxtOWJJeWTBbG7SS5mvyNCOcWKJUJsmuRffPIkw9w-Gppm87xcDz9fujlddDcEl_jKofO1xVC2HQ.jpg?r=e87,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,2021,,63/100,1,0,0,0,0,1,1,1
19,American Eid,https://img.betaseries.com/QESYQhd10goix2t8hZFJlnC135U=/600x900/smart/https%3A%2F%2Fpictures.betaseries.com%2Ffilms%2Faffiches%2Foriginal%2F89995.jpg,"American Eid is a live action short film in the Launchpad series from Walt Disney Studios Motion Pictures and was released on Disney+ on May 28, 2021.",2021,all,52/100,0,0,0,1,0,1,1,1
20,American Mobster: Retribution,https://m.media-amazon.com/images/M/MV5BZjNmZDc2OTUtODI3YS00M2I5LTk2ZWItNDQ2YmVjMDVhMmRkXkEyXkFqcGdeQXVyMjM2OTAxNg@@._V1_FMjpg_UX1000_.jpg,"Nick Romano must navigate through murder, violence and betrayal to keep his place as top mobster.",2021,,53/100,0,0,1,0,0,0,1,0
21,Amy Tan: Unintended Memoir,https://occ-0-34-32.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZcNIOObeATMWc2Y33_iumOIn6ONz-njUZwf6Rr5iwA_nWis2rQg6aTozjQxzrwX_ePDquZ3DmX4KeAjM6k3f7F90m2b.jpg?r=ec8,"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary.",2021,,49/100,1,0,0,0,0,1,1,0
22,Animals on the Loose: A You vs. Wild Movie,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVSwzWhw3uoiVtGCFwEhS4OhU8gLE_cs3hpr05XnL0MCfhfZ69MlHC-ifGN8dPNFnFql-KfI4JrvY4bka7ERw_CgSepMyaBrNNlPNbtGS58ys5s-IsPCKzXJv9mw3PubVcKoDY3aNBZAwB0IObMq8iPIR1ePu0Pt-HdgDcSd2xOnFG33z_yeCSadWAaXplsk5O55wdAEgdpr5re7iL0qNcjyNQ.jpg?r=5fb,"When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special.",2021,,47/100,1,0,0,0,0,1,1,1
23,Ape Canyon,https://a.ltrbxd.com/resized/film-poster/7/3/6/0/8/4/736084-ape-canyon-0-230-0-345-crop.jpg?k=0c53304eed,A mixed-up guy in the midst of a quarter-life crisis drags his big sister along on a Bigfoot-hunting expedition.,2021,,44/100,0,0,1,0,0,0,1,0
24,Aperture Kids and the Mysterious Neighbor,https://m.media-amazon.com/images/M/MV5BMzgwZDMwOTItMmIxZi00ODk1LWJmYzEtMTA1MTM3OTFhYjJlXkEyXkFqcGdeQXVyNzk5ODY5Njk@._V1_.jpg,Strange things begin happening around town when three kids go investigate the reports of a missing person next door.,2021,,33/100,0,0,1,0,0,0,1,0
25,Arlo the Alligator Boy,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaSJkKzG0RUr7yfoTm2GhtZMMln1fURGosV5i5YCN5qDFRY1HB230hytZggIrOGqaCBS1cUBDq4gZZvIkLT9dg3jvL_rZJYIO6-7rPH-A_smQi8e3hpjtSOkXioG-w.jpg?r=fff,"To find the father he never knew, optimistic Arlo leaves his swampy Southern home for New York City, making friends along the way. A musical adventure.",2021,7+,52/100,1,0,0,0,0,1,1,1
26,Army of the Dead,https://occ-0-2688-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVYIV0w1p6YPqnL6MUaZCvMSjsMxngolsIwVnPHcCtEaLDqMOs9gxQ7W-90suRBlUCMop7lAPBLJVSfxOJBSV3DHFDTKhXo5o4WYAj9pFtNq_wiKEAOWZFxZQ7x4MA.jpg?r=4d6,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever.",2021,18+,75/100,1,0,0,0,0,1,1,1
27,Ashin of the North,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbp1UZ140cwfjPX3vx084xXfNBb0oxVc70pT5c-1EFRA5Bf6a4fZj-KZtKprVdRPxFSFvmClZ09uw7Hq7rrW1C2Sl_pcjF3Yt771PDtQy4qsC_Ehn9Vdu-o20nApNg.jpg?r=c72,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",2021,18+,58/100,1,0,0,0,0,0,1,1
28,Audible,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaY_leZH-O5tukue1uB99XOV1QKtWtoW3IlIVjcLclURCdTJtikW3SPIYakXFHSYKTLBKI8xRNCxVjtlI2pKqjJERLNGvJxLOuTnBhSYpdDZoEADN_qMu67O0DPF7w.jpg?r=d59,"Shaken by a friend's suicide, a Deaf high school football player copes with family and relationships while anticipating his final homecoming game.",2021,13+,51/100,1,0,0,0,0,1,1,1
29,Awake,https://occ-0-3428-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTzQ5rKrneas4hGZgCmtFqqVoMt5Rby68GsSN0CJAoC1LyXwBtYPK2wlk5lpnxqe7GY_7LhY-iafjcEE82I0b39jx5pzQRkgc-InkgpeFywIx7anSrO7QS1ZXtfw4w.jpg?r=7d4,"After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",2021,,63/100,1,0,1,0,0,1,1,1
30,Axeman at Cutters Creek,https://m.media-amazon.com/images/M/MV5BMDE4MzJiNDMtZDhhMy00YTA5LTg2MjAtZDI0YzE0ZDU2NDFhXkEyXkFqcGdeQXVyOTY4NDkwNw@@._V1_FMjpg_UX1000_.jpg,Nine vacationing twenty-somethings are hunted by an ax-wielding local legend.,2021,,42/100,0,0,1,0,0,0,1,0
31,Bad Hair,https://m.media-amazon.com/images/M/MV5BMzNiYzUxMDItNTI3Yy00OWI4LWEyZWUtNDhmODVkOTJkZjI5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,"In 1989 an ambitious young woman gets a weave in order to succeed in the image-obsessed world of music television. However, her flourishing career may come at a great cost when she realizes that her new hair may have a mind of its own.",2021,,58/100,0,1,0,0,0,1,1,1
32,Baggio: The Divine Ponytail,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbIcqu2l2nqshIPc7s2WZSP6jA5FgNASgUAsAUSkqI_4hUhuUrkLDaX1qHh3lCikfWQGVKaejoGQ73wbJLhR7YprfYVJZMQQ3fo86XNuwEovU1F8UtBUZC4JRCukMA.jpg?r=14d,"The story of Roberto Baggio, one of the best soccer players of all time, including his career highs, triumphs over injuries and discovery of Buddhism.",2021,16+,55/100,1,0,0,0,0,0,1,1
33,Bankrolled,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW_ao-X-9GxpB6wMm-I3AE2nnsxiWbj_bCAFBKwlrfNxU8gwnC1koGWgXznSeaJWBkTQCbiAHR7McAtumg8z_pgNDihLsVVqxRwtawaYMlnbpjyDLo-f_6F77Hj3kA.jpg?r=23b,Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Then they have to come up with the app.,2021,,49/100,1,0,0,0,0,0,1,1
34,Barb & Star Go to Vista Del Mar,https://m.media-amazon.com/images/M/MV5BNTQ2OGU1OTgtYmVhYi00MGIxLTg4MzQtYWFlZjIxYTViOTc4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_FMjpg_UX1000_.jpg,Lifelong friends Barb and Star embark on the adventure of a lifetime when they decide to leave their small Midwestern town for the first time ever.,2021,13+,73/100,0,1,0,0,0,0,1,0
35,Barbie & Chelsea the Lost Birthday,https://occ-0-487-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdgA04k-duOdd6fOCPHmVAiUOQnkwFvGbTWG2oPVM9o-mkCaWsvtaod4tF0oXl8c4MKT2wAcvt83070t5-ty9yJlXVDK.jpg?r=5fc,"When Barbie’s sister Chelsea thinks her birthday has been skipped, she hunts for a magic gem on a jungle island that will grant her wish to get it back.",2021,,48/100,1,0,0,0,0,1,1,1
36,Bartkowiak,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYt1Gml4rUaA4GRFoBUxquivfKLJHK5u80BbnIaPJYqfRgxLH_lT4AFvbQbCQFTjfF5q1TzQlzupNsCrZkhNv0viEZvL06daLT-PPQM7BRW0SQvfyoWFVCHebJDNng.jpg?r=055,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident.",2021,18+,51/100,1,0,0,0,0,0,1,1
37,Below Zero,https://occ-0-3419-3418.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVrjyFUAwBHeX_sBLwawAKsqyiuk5C-COiCx0dnMfqQJTIN7R96VF8fgITeVbTb_ouDtHDROB53nBv8TA0eWxwVY3exyJ8Afwoe-djdKea4Bkbn3zy-IFYUPHGddFg.jpg?r=aae,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",2021,18+,64/100,1,0,0,0,0,0,1,0
38,Biggie: I Got a Story to Tell,https://occ-0-2101-185.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABS6JG9LflnbCZRvM-XNauDGNC3xPUzaIRkukihMJhniSvS4OBU9RpwxCVwzDRGGcSBdJEeLVExraEek3_YDbktuooB2_mACnr0FuWE_IUoHYgNnQtuC5WeTdFJNGog.jpg?r=b53,"Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king.",2021,18+,60/100,1,0,0,0,0,1,1,1
39,Biking Borders - eine etwas andere Reise,https://occ-0-1433-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU3OJ4Z5QKN889ZaeTdmEliJEu4d6K4YwBy6f2p4x8BIvJnbstukTiJ2xdm-XWtEQFn8GW8c2xzTfhrRsGMXRdKp2A8F.jpg?r=011,"Best friends Max and Nono bike from Berlin to Beijing, collecting donations to build a school for a unique fundraising adventure in this documentary.",2021,,56/100,1,0,0,0,0,0,1,0
40,Blood Born,https://m.media-amazon.com/images/M/MV5BOGYxMDBmZjEtZDI2Zi00NWQ4LWJhNDAtNjJiYWU1Mjc0N2NiXkEyXkFqcGdeQXVyMTM2ODcwOTY@._V1_FMjpg_UX1000_.jpg,Soon-to-be parents fear that their baby may not be entirely human.,2021,,50/100,0,0,1,0,0,0,1,0
41,Blood Red Sky,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTYhhtABUqWpNizl6RsjSGD3VR3rJkWWQIDwESZbaEbdpC_Ylwj0hdyrSg-N6OWSIXetQdmC_z12L_pjiRj1LpGXepsrP4XGT3_1akgT083C_y2VqiDT5PpR1v5EQw.jpg?r=5ba,"When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son.",2021,18+,66/100,1,0,0,0,0,1,1,1
42,Blue Miracle,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYP2Ih5PGHrw0HA1jsDrhkE9S8TV4LktLuv7ii5NQufmUw4qhJd2AZrSg6OX4SUJpVGX68iGDrHN7_dVoxs6TCPewxamRVdPcmcneMTZDKyIKFBy9K-eE1LkIvQkcA.jpg?r=d8d,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",2021,7+,67/100,1,0,0,0,0,1,1,1
43,Bo Burnham: Inside,https://occ-0-3607-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABd0QiTnoQ5GSEfiuxnhoDZmrcSch7GaAJVuWGRCmd1SxR3bGaIOV3RvBl-g5OjhR8H8sXpHweZmTwntRx7IULShpDQl5VdQMM3rrsuNfyemDli3ObtH5ymei0sDTFw.jpg?r=4b9,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",2021,18+,81/100,1,0,0,0,0,1,1,1
44,Boss Level,https://m.media-amazon.com/images/M/MV5BNTVkODdiMjAtNmQ5Yy00OThhLTg4MDItYTZlYTFmN2E0M2M1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"A former special forces agent is trapped in a time loop and relives his death over and over again. To escape the terrible situation, he must track down those responsible and stop them.",2021,18+,75/100,0,1,0,0,0,1,1,1
45,Bottom Feeders,https://m.media-amazon.com/images/M/MV5BOGM4MjhiNDgtNjMwOC00YmMzLTg2MGYtMTc3NmI0NjViOTg0XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,"When given an ultimatum by his girlfriend, an underachieving college student must choose between her, his chauvinist friend and his self-respect while an eccentric sociology professor puts them all to the test.",2021,,44/100,0,0,1,0,0,0,1,0
46,Breaking Boundaries: The Science of Our Planet,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc7xHdSkfcGKg_IUYQt6ogj99iEsN6PN56eHm5xsdXPcrOBtfrpr-LZ5Vi94L8UmRKxi_sVVLElWZ9C6zblevlyviwglhzuKJ9taSmR20VTQoT8NSkyOXPTU-L_tAA.jpg?r=c0b,David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.,2021,7+,65/100,1,0,0,0,0,1,1,1
47,Brian Regan: On the Rocks,https://occ-0-5169-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaTvYLOkQ5QLXpqwi5oSMHZV0L-mc-G7oq1JalEAyaXqZFf0ftiGqmXaQjVnn5297EHQEVH61dfMUJFOMAMEQgG3_uVHGskzPawoikkRi7FN3fnTQiQMddK3NYGbnA.jpg?r=b96,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins.",2021,,51/100,1,0,0,0,0,1,1,1
48,Buddy Games,https://m.media-amazon.com/images/M/MV5BNmE4ZTZmYjAtNGU2OS00NDFlLWI2OWYtMjYwZmVjOWJlOWE1XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,"After a falling out, six lifelong friends reunite to play the buddy games -- an insane competition filled with absurd physical and mental challenges. Now, all bets are off, as the determined pals fight, claw and party for the chance to win $150,000.",2021,18+,57/100,0,1,0,0,0,0,1,0
49,Built for Mars: The Perseverance Rover,https://www.themoviedb.org/t/p/w500/joFZTKsvSqjJ0XbEqmlqyuZpaWJ.jpg,"Focuses on NASA's Perseverance rover which is scheduled to land on Mars on 18th February 2021, where it will look for signs of life and collect samples from the Red Planet.",2021,,14/100,0,0,0,1,0,0,1,0
50,Butchers,https://m.media-amazon.com/images/M/MV5BMTQwMTk3NzctNTIzOS00MDQxLTk1NzEtZGVkMjdjZmI2NmZmXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_.jpg,Anyone who crosses their path is dead meat for a family of sadistic butchers in the backcountry.,2021,,54/100,0,0,1,0,0,0,1,0
51,Care Of Kaadhal,https://occ-0-487-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXrtPww-g5zBIpapsvAKoVjK10E3Wj_TYxOwv_RrmiExnKxuCYTWHkyFij2kF7TbyR3Xx6YE7NadJyH92hTyKehHyrs7.jpg?r=d1a,"Cutting across conventions and expectations, four brave love stories blossom in this Tamil remake of the 2018 Telugu film ""Care of Kancharapalem.”",2021,,49/100,1,0,0,0,0,0,1,0
52,Carnaval,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc5Gs9awWAHKvqzvzJDzTV_Q284JGZZ1286IKnKrGR4T5qXeeKc7oAhjoZsia6HieTRY_uojtmOEUuZ-WS6G90UWICZEU6eLEa2TtJ46l4bKGBu85wz9hwyV1jpecg.jpg?r=47d,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",2021,,52/100,1,0,0,0,0,0,1,1
53,Caught by a Wave,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQL52KGgOpkqOWHuoA7dPuonNQ8RetrqQBJCI8oD12YT9G-7ofikUhv1Qra9fhkrkgxrpVO_tkuF2KpWPD42xcmGxRlH-NmaBiuH7MlHfFxHraQeevRP9vGairqBMw.jpg?r=713,"After falling in love at a sailing summer camp in Sicily, reality comes crashing down on a teenage couple when a harsh truth prompts a pivotal decision.",2021,16+,54/100,1,0,0,0,0,0,1,1
54,Chhota Bheem - Neeli Pahaadi,https://occ-0-2475-1009.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUjK4kUUk9i0uY30uOn6CxTx4TWs3SYBiVNgvblFI9E1CMzMA-tw626SqSSuvrY07vuXhSs0ewGJowhU2lMzx1MJtPaj.jpg?r=350,"Things get spooky when Bheem and his buddies travel to the border of Dholakpur, known for its eerie history and rumored to be haunted.",2021,,43/100,1,0,0,0,0,0,1,0
55,Chick Fight,https://m.media-amazon.com/images/M/MV5BYmIwNWE4ZDItYWRmNC00OTNmLTg5ZGItMDc2NTEwZDdmMGE5XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,"When Anna joins an all-female, underground fight club to turn her mess of a life around, she soon discovers she's much more personally connected to the history of the club than she ever could have imagined.",2021,18+,57/100,0,0,1,0,0,0,1,1
56,Chris Rock Total Blackout: The Tamborine Extended Cut,https://occ-0-3-3933.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbMGd0uo_O-YaM3W5KC2FUyWWVnRkmS0Tetu-rBH0Flv7R1s25nvanew-tDa6YLAFcY7Lx5Z4_S8RUHIp6XERMmFqETsZyIkfu7E3wxl6l6phNAroeUJuMSI6o6dmA.jpg?r=289,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",2021,,44/100,1,0,0,0,0,1,1,1
